Method,Task,ACC,SN,SP,PR,F1,MCC
T1SEstacker,T1SE,0.929,0.800,0.947,0.667,0.727,0.691
DeepSecE,T1SE,0.994,0.950,1.000,1.000,0.974,0.971
BEAN 2.0,T3SE,0.908,0.891,0.917,0.922,0.906,0.816
Bastion3,T3SE,0.959,0.954,0.958,0.962,0.958,0.917
EP3,T3SE,0.922,0.991,0.852,0.852,0.916,0.851
T3SEpp,T3SE,0.921,0.888,0.954,0.950,0.919,0.844
DeepSecE,T3SE,0.912,0.954,0.870,0.880,0.916,0.827
Bastion4,T4SE,0.950,0.967,0.947,0.784,0.865,0.842
CNN-T4SE,T4SE,0.989,0.967,0.993,0.967,0.966,0.960
iT4SE-EP,T4SE,0.966,1.000,0.960,0.833,0.909,0.894
T4SEfinder,T4SE,0.967,0.933,0.973,0.875,0.903,0.884
DeepSecE,T4SE,0.978,0.967,0.980,0.906,0.935,0.923
Bastion6,T6SE,0.943,1.000,0.885,0.898,0.946,0.892
DeepSecE,T6SE,0.968,0.950,0.985,0.984,0.967,0.936
