,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6),Effectidor
0,0,0,0,0,0,1,NP_459006.1,thr operon leader peptide,STM0001,thrL,190,255,+,NC_003197.2,0,0,0,0
1,1,1,1,1,1,2,NP_459007.1,bifunctional aspartate kinase/homoserine dehydrogenase I,STM0002,thrA,337,2799,+,NC_003197.2,0,0,0,0
2,2,2,2,2,2,3,NP_459008.1,homoserine kinase,STM0003,thrB,2801,3730,+,NC_003197.2,0,0,0,0
3,3,3,3,3,3,4,NP_459009.1,threonine synthase,STM0004,thrC,3734,5020,+,NC_003197.2,0,0,0,0
4,4,4,4,4,4,5,NP_459010.1,peroxide stress protein YaaA,STM0005,yaaA,5114,5887,-,NC_003197.2,0,0,0,0
5,5,5,5,5,5,6,NP_459011.1,sodium:alanine symporter family protein,STM0006,yaaJ,5966,7396,-,NC_003197.2,0,0,0,0
6,6,6,6,6,6,7,NP_459012.1,transaldolase,STM0007,talB,7665,8618,+,NC_003197.2,0,0,0,0
7,7,7,7,7,7,8,NP_459013.1,molybdopterin adenylyltransferase,STM0008,mog,8729,9319,+,NC_003197.2,0,0,0,0
8,8,8,8,8,8,9,NP_459014.1,hypothetical protein,STM0009,yaaH,9376,9942,-,NC_003197.2,0,0,0,0
9,9,9,9,9,9,10,NP_459015.1,hypothetical protein,STM0010,htgA,10092,10805,-,NC_003197.2,0,0,0,0
10,10,10,10,10,10,11,NP_459016.1,hypothetical protein,STM0011,yaaI,10841,11245,-,NC_003197.2,0,0,0,0
11,11,11,11,11,11,12,NP_459017.1,molecular chaperone DnaK,STM0012,dnaK,11593,13509,+,NC_003197.2,0,0,0,0
12,12,12,12,12,12,13,NP_459018.1,molecular chaperone DnaJ,STM0013,dnaJ,13595,14734,+,NC_003197.2,0,0,0,0
13,13,13,13,13,13,14,NP_459019.1,hypothetical protein,STM0014,,15014,15961,+,NC_003197.2,0,0,0,0
14,14,14,14,14,14,15,NP_459020.1,hypothetical protein,STM0015,,16088,16432,+,NC_003197.2,0,0,0,0
15,15,15,15,15,15,16,NP_459021.1,hypothetical protein,STM0016,,16493,17026,-,NC_003197.2,0,0,0,0
16,16,16,16,16,16,17,NP_459022.1,hypothetical protein,STM0017,,17043,17486,-,NC_003197.2,0,0,0,0
17,17,17,17,17,17,18,NP_459023.1,chitinase,STM0018,,17867,19966,+,NC_003197.2,0,0,0,0
18,18,18,18,18,18,19,NP_459024.1,chitinase,STM0019,,20058,23054,+,NC_003197.2,0,0,0,0
19,19,19,19,19,19,20,NP_459025.1,hypothetical protein,STM0020,,23335,24039,+,NC_003197.2,0,0,0,0
20,20,20,20,20,20,21,NP_459026.1,fimbrial protein,STM0021,bcfA,24469,25011,+,NC_003197.2,0,0,0,0
21,21,21,21,21,21,22,NP_459027.1,fimbrial chaperone protein,STM0022,bcfB,25112,25798,+,NC_003197.2,0,0,0,0
22,22,22,22,22,22,23,NP_459028.1,outer membrane usher protein,STM0023,bcfC,25803,28424,+,NC_003197.2,0,0,0,0
23,23,23,23,23,23,24,NP_459029.1,fimbrial protein,STM0024,bcfD,28425,29432,+,NC_003197.2,0,0,0,0
24,24,24,24,24,24,25,NP_459030.1,fimbrial protein,STM0025,bcfE,29433,29978,+,NC_003197.2,0,0,0,0
25,25,25,25,25,25,26,NP_459031.1,fimbrial protein,STM0026,bcfF,29994,30512,+,NC_003197.2,0,0,0,0
