name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T3SE-WP_011102938.1,III,0.7593,0.2039,0.0017,0.001,0.7593,0.0313,0.0027,236
T6SE-WP_046463577.1,VI,0.8056,0.0718,0.034,0.0021,0.0703,0.0161,0.8056,150
T3SE-WP_011102945.1,III,0.9096,0.0012,0.0013,0.0002,0.9096,0.0805,0.0073,116
T3SE-WP_200836483.1,III,0.5739,0.2833,0.0015,0.0015,0.5739,0.135,0.0049,385
T6SE-WP_046463838.1,VI,0.4823,0.3719,0.0028,0.0029,0.1293,0.0108,0.4823,182
T3SE-WP_054070124.1,III,0.7958,0.1315,0.0037,0.0004,0.7958,0.0307,0.0379,77
T3SE-WP_226992674.1,III,0.8872,0.0003,1e-04,1e-04,0.8872,0.1121,1e-04,260
T3SE-WP_005769591.1,III,0.9982,0.0,1e-04,0.0,0.9982,0.0016,0.0,287
T3SE-WP_005769549.1,III,0.5794,0.141,0.0003,0.0005,0.5794,0.2778,0.0011,83
T3SE-WP_005769538.1,III,0.6486,0.1421,0.0021,0.0004,0.6486,0.2026,0.0042,83
T3SE-WP_007247222.1,III,0.8788,0.1084,0.0013,0.0009,0.8788,0.0071,0.0036,554
T3SE-WP_011103006.1,III,0.7067,0.0866,0.0217,0.0056,0.7067,0.1436,0.0358,318
T6SE-WP_005768137.1,VI,0.9468,0.0156,0.0109,0.0032,0.0227,0.0009,0.9468,114
T6SE-WP_011103019.1,VI,0.8878,0.0025,0.0064,0.0002,0.0739,0.0291,0.8878,282
T3SE-WP_005768208.1,III,0.6024,0.3326,0.0097,0.008,0.6024,0.0057,0.0415,306
T3SE-WP_147463982.1,III,0.6155,0.3474,0.0012,0.0013,0.6155,0.0327,0.0019,244
T3SE-WP_005768484.1,III,0.512,0.3975,0.001,0.0012,0.512,0.085,0.0032,116
T3SE-WP_046463848.1,III,0.9991,0.0,0.0004,0.0005,0.9991,0.0,0.0,235
T3SE-WP_011103045.1,III,0.8745,0.0876,0.0069,0.0145,0.8745,0.0132,0.0034,237
T3SE-WP_011103056.1,III,0.7271,0.1893,0.0004,0.0003,0.7271,0.0821,0.0008,218
T6SE-WP_005771123.1,VI,0.3547,0.0918,0.2413,0.0067,0.1899,0.1156,0.3547,84
T3SE-WP_057443286.1,III,0.7883,0.0645,0.0011,0.0002,0.7883,0.1305,0.0153,131
T6SE-WP_011103081.1,VI,0.8308,0.1515,0.0123,0.0008,0.0036,0.001,0.8308,107
T3SE-WP_046463817.1,III,0.546,0.4182,0.0009,0.0016,0.546,0.0309,0.0024,463
T3SE-WP_005763415.1,III,0.8179,0.1442,0.0151,0.0102,0.8179,0.0072,0.0054,332
T3SE-WP_007247550.1,III,0.4598,0.4247,0.0009,0.0011,0.4598,0.1122,0.0013,395
T6SE-WP_011103121.1,VI,0.9867,0.01,0.0023,0.0005,0.0002,0.0004,0.9867,855
T3SE-WP_011103122.1,III,0.8203,0.0587,0.0014,0.0003,0.8203,0.1143,0.0049,195
T1SE-WP_011103132.1,I,0.4416,0.06,0.4416,0.3679,0.046,0.0209,0.0636,598
T3SE-WP_005737430.1,III,0.9814,0.0164,1e-04,1e-04,0.9814,0.0013,0.0007,88
T6SE-WP_005763678.1,VI,0.8219,0.0449,0.0143,0.0052,0.0885,0.0251,0.8219,332
T3SE-WP_005763699.1,III,0.6132,0.3257,0.0004,0.0004,0.6132,0.0593,0.0011,77
T3SE-WP_003379947.1,III,0.5468,0.4392,0.0006,0.0007,0.5468,0.0108,0.0019,100
T6SE-WP_011103156.1,VI,0.8948,0.0723,0.0137,0.0005,0.0139,0.0048,0.8948,188
