id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,"DeepSecE(0.6)",T4SEfinder
1,WP_010945763.1,chromosomal replication initiator protein DnaA,LPG_RS00005,dnaA,654,2012,+,NC_002942.5,0,0,0,0
2,WP_010945764.1,DNA polymerase III subunit beta,LPG_RS00010,dnaN,2026,3129,+,NC_002942.5,0,0,0,0
3,WP_010945765.1,DNA replication/repair protein RecF,LPG_RS00015,recF,3126,4187,+,NC_002942.5,0,0,0,0
4,WP_016356688.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,LPG_RS00020,gyrB,4485,6902,+,NC_002942.5,0,0,0,1
5,WP_016356689.1,agmatine deiminase family protein,LPG_RS00025,,7271,8311,-,NC_002942.5,0,0,0,0
6,WP_010945768.1,biosynthetic arginine decarboxylase,LPG_RS00030,speA,8314,10206,-,NC_002942.5,0,0,0,0
7,WP_016356690.1,carbon-nitrogen hydrolase,LPG_RS00035,,10226,11071,-,NC_002942.5,0,0,0,0
8,WP_010945770.1,hypothetical protein,LPG_RS00040,,11612,12871,-,NC_002942.5,1,1,1,1
9,WP_010945771.1,RNA chaperone Hfq,LPG_RS00045,hfq,13059,13316,+,NC_002942.5,0,0,0,0
10,WP_016356692.1,GTPase HflX,LPG_RS00050,hflX,13344,14588,+,NC_002942.5,0,0,0,0
11,WP_010945773.1,TlpA family protein disulfide reductase,LPG_RS00055,,14693,15163,-,NC_002942.5,0,0,0,0
12,WP_010945774.1,Dot/Icm T4SS effector CegC1,LPG_RS00060,cegC1,15332,16909,-,NC_002942.5,1,1,1,1
13,WP_015444977.1,pirin family protein,LPG_RS00065,,17055,17894,+,NC_002942.5,0,0,0,0
14,WP_010945776.1,patatin-like phospholipase family protein,LPG_RS00070,,18331,19542,+,NC_002942.5,0,0,0,0
15,WP_010945777.1,HlyD family secretion protein,LPG_RS00075,,19643,20716,+,NC_002942.5,0,0,0,0
16,WP_014840688.1,hypothetical protein,LPG_RS00080,,20691,21623,+,NC_002942.5,0,0,0,0
17,WP_016356693.1,FUSC family protein,LPG_RS00085,,21608,22513,+,NC_002942.5,0,0,0,0
18,WP_010945780.1,TolC family protein,LPG_RS00090,,22497,23882,+,NC_002942.5,0,0,0,0
19,WP_016356694.1,M4 family metallopeptidase,LPG_RS00095,,24117,25793,+,NC_002942.5,0,0,0,0
20,WP_010945782.1,hypothetical protein,LPG_RS00100,,26016,26927,+,NC_002942.5,0,0,0,0
21,WP_010945783.1,ribosome-associated protein,LPG_RS00105,,27119,27598,+,NC_002942.5,1,0,0,0
22,WP_010945784.1,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,LPG_RS00110,rlmKL,27595,29718,+,NC_002942.5,0,0,0,0
