assembly,TXSS/T1SS,TXSS/T2SS,TXSS/T3SS,TXSS/T4SS,TXSS/T6SS,Genome Name,Phylum,Class,Order,Family,Genus,Species,Assembly Accession,CDS
GCA_000005845,0,1,0,0,0,Escherichia coli str. K-12 substr. MG1655,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCA_000005845.2,4549
GCA_000006645,2,0,1,0,4,Yersinia pestis KIM10+,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,GCA_000006645.1,4567
GCA_000006685,0,0,1,0,0,Chlamydia muridarum Nigg,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum,GCA_000006685.1,992
GCA_000006725,0,0,0,1,0,Xylella fastidiosa 9a5c,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Xylella fastidiosa,GCA_000006725.1,3018
GCA_000006745,1,1,0,0,1,Vibrio cholerae O1 biovar El Tor str. N16961,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,GCA_000006745.1,3721
GCA_000006765,4,2,2,0,3,Pseudomonas aeruginosa PAO1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,GCA_000006765.1,5836
GCA_000006905,2,1,0,1,0,Caulobacter crescentus CB15,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,GCA_000006905.1,3765
GCA_000006925,0,0,1,0,0,Shigella flexneri 2a str. 301,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,GCA_000006925.2,5527
GCA_000006945,2,0,2,0,1,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCA_000006945.1,4972
GCA_000006965,3,0,0,1,0,Sinorhizobium meliloti 1021,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,GCA_000006965.1,6489
GCA_000007025,1,0,0,0,0,Rickettsia conorii str. Malish 7,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia conorii,GCA_000007025.1,1578
GCA_000007105,1,0,0,0,0,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Zymomonas mobilis,GCA_000007105.1,1904
GCA_000007125,0,0,0,1,0,Brucella melitensis bv. 1 str. 16M,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella melitensis,GCA_000007125.1,3499
GCA_000007145,0,1,1,1,0,Xanthomonas campestris pv. campestris str. ATCC 33913,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,GCA_000007145.1,4553
GCA_000007165,1,1,1,2,1,Xanthomonas axonopodis pv. citri str. 306,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri,GCA_000007165.1,4623
GCA_000007385,2,0,1,0,2,Xanthomonas oryzae pv. oryzae KACC 10331,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,GCA_000007385.1,5118
GCA_000007505,0,0,0,1,0,Brucella suis 1330,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella suis,GCA_000007505.1,3432
GCA_000007545,2,0,2,0,1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCA_000007545.1,5017
GCA_000007565,4,0,0,0,3,Pseudomonas putida KT2440,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,GCA_000007565.1,5777
GCA_000007605,0,0,1,0,0,Chlamydophila caviae GPIC,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia caviae,GCA_000007605.1,1067
GCA_000007705,4,1,1,0,1,Chromobacterium violaceum ATCC 12472,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum,GCA_000007705.1,4327
GCA_000007765,0,0,0,1,0,Coxiella burnetii RSA 493,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii,GCA_000007765.1,2132
GCA_000007805,1,0,1,2,2,Pseudomonas syringae pv. tomato str. DC3000,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3,GCA_000007805.1,5890
GCA_000007985,1,0,0,0,0,Geobacter sulfurreducens PCA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sulfurreducens,GCA_000007985.2,3473
GCA_000008045,1,0,0,0,0,Rickettsia typhi str. Wilmington,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,GCA_000008045.1,892
GCA_000008145,0,0,0,1,0,Brucella abortus bv. 1 str. 9-941,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella abortus,GCA_000008145.1,3476
GCA_000008465,0,1,0,0,0,Idiomarina loihiensis L2TR,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis,GCA_000008465.1,2650
GCA_000008485,0,1,0,2,0,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,GCA_000008485.1,3212
GCA_000008725,0,0,1,0,0,Chlamydia trachomatis D/UW-3/CX,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis,GCA_000008725.1,968
GCA_000008745,0,0,1,0,0,Chlamydophila pneumoniae CWL029,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae,GCA_000008745.1,1174
GCA_000008865,1,1,2,0,1,Escherichia coli O157:H7 str. Sakai,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCA_000008865.1,5602
GCA_000008985,0,0,0,0,2,Francisella tularensis subsp. tularensis SCHU S4,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,GCA_000008985.1,2097
GCA_000009065,1,0,2,0,4,Yersinia pestis CO92,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,GCA_000009065.1,4666
GCA_000009125,2,1,1,1,1,Ralstonia solanacearum GMI1000,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,GCA_000009125.1,5153
GCA_000009145,1,0,0,0,0,Nitrosomonas europaea ATCC 19718,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas europaea,GCA_000009145.1,2888
GCA_000009165,1,1,1,1,2,Xanthomonas campestris pv. vesicatoria str. 85-10,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas euvesicatoria,GCA_000009165.1,4792
GCA_000009225,2,2,1,0,1,Pseudomonas fluorescens SBW25,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,GCA_000009225.1,6256
GCA_000009265,3,0,0,2,0,Rhizobium leguminosarum bv. viciae 3841,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum,GCA_000009265.1,7483
GCA_000009345,2,1,2,0,1,Yersinia enterocolitica subsp. enterocolitica 8081,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,GCA_000009345.1,4479
GCA_000009365,0,1,0,0,0,Alcanivorax borkumensis SK2,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,GCA_000009365.1,2873
GCA_000009485,2,1,1,1,1,Burkholderia cenocepacia J2315,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,GCA_000009485.1,7534
GCA_000009625,4,0,1,3,1,Mesorhizobium loti MAFF303099,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium japonicum,GCA_000009625.1,7150
GCA_000009705,5,0,0,0,0,Nostoc sp. PCC 7120,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7120 = FACHB-418,GCA_000009705.1,6694
GCA_000009745,5,1,0,0,1,Vibrio vulnificus YJ016,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,GCA_000009745.1,4817
GCA_000009925,2,0,0,0,2,Bacteroides fragilis YCH46,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,GCA_000009925.1,4412
GCA_000009945,0,0,1,0,0,Chlamydophila felis Fe/C-56,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia felis,GCA_000009945.1,1062
GCA_000009985,4,0,0,0,0,Magnetospirillum magneticum AMB-1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum magneticum,GCA_000009985.1,4539
GCA_000010065,2,0,0,0,0,Synechococcus elongatus PCC 6301,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,GCA_000010065.1,2868
GCA_000010085,0,0,3,0,0,Sodalis glossinidius str. 'morsitans',Proteobacteria,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis,Sodalis glossinidius,GCA_000010085.1,6007
GCA_000010305,0,0,0,0,1,Gemmatimonas aurantiaca T-27,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,GCA_000010305.1,4027
GCA_000010325,1,0,0,0,0,Nitratiruptor sp. SB155-2,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nitratiruptoraceae,Nitratiruptor,Nitratiruptor sp. SB155-2,GCA_000010325.1,1943
GCA_000010345,1,0,0,0,0,Sulfurovum sp. NBC37-1,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Sulfurovum sp. NBC37-1,GCA_000010345.1,2503
GCA_000010525,3,0,0,1,1,Azorhizobium caulinodans ORS 571,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,GCA_000010525.1,4915
GCA_000010625,1,0,0,0,0,Microcystis aeruginosa NIES-843,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,GCA_000010625.1,5777
GCA_000010665,1,0,0,0,0,Desulfovibrio magneticus RS-1,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio,Solidesulfovibrio magneticus,GCA_000010665.1,4448
GCA_000010725,5,0,0,0,2,Azospirillum sp. B510,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. B510,GCA_000010725.1,6784
GCA_000010825,2,0,0,0,0,Acetobacter pasteurianus IFO 3283-01,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,GCA_000010825.1,3170
GCA_000011065,1,0,0,0,0,Bacteroides thetaiotaomicron VPI-5482,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,GCA_000011065.1,4872
GCA_000011365,6,0,1,1,1,Bradyrhizobium japonicum USDA 110,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium diazoefficiens,GCA_000011365.1,8517
GCA_000011385,1,0,0,0,0,Gloeobacter violaceus PCC 7421,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus,GCA_000011385.1,4459
GCA_000011485,2,0,0,0,0,Prochlorococcus marinus str. MIT 9313,Cyanobacteria,,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,GCA_000011485.1,2873
GCA_000011545,3,1,3,0,6,Burkholderia pseudomallei K96243,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei,GCA_000011545.1,6808
GCA_000011565,0,0,1,0,0,Candidatus Protochlamydia amoebophila UWE25,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,Candidatus Protochlamydia amoebophila,GCA_000011565.1,2085
GCA_000011605,4,1,1,1,1,Pectobacterium atrosepticum SCRI1043,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium atrosepticum,GCA_000011605.1,4605
GCA_000011685,1,0,0,0,0,Gluconobacter oxydans 621H,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,GCA_000011685.1,2821
GCA_000011705,2,1,2,0,3,Burkholderia mallei ATCC 23344,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia mallei,GCA_000011705.1,5724
GCA_000011805,1,1,0,1,0,Vibrio fischeri ES114,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri,GCA_000011805.1,3825
GCA_000011885,2,0,2,0,1,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCA_000011885.1,4679
GCA_000011965,2,0,0,0,0,Ruegeria pomeroyi DSS-3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi,GCA_000011965.2,4445
GCA_000012005,1,1,1,0,0,Shigella dysenteriae Sd197,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,GCA_000012005.1,5785
GCA_000012145,1,0,0,0,0,Rickettsia felis URRWXCal2,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia felis,GCA_000012145.1,1810
GCA_000012205,3,1,2,1,1,Pseudomonas syringae pv. phaseolicola 1448A,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas savastanoi,GCA_000012205.1,5569
GCA_000012245,3,0,1,0,1,Pseudomonas syringae pv. syringae B728a,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,GCA_000012245.1,5293
GCA_000012265,4,1,0,0,1,Pseudomonas protegens Pf-5,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens,GCA_000012265.1,6363
GCA_000012305,1,0,0,0,0,Psychrobacter arcticus 273-4,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter arcticus,GCA_000012305.1,2531
