Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"100226.15","Streptomyces coelicolor A3(2)",,100226,"131567;2;1783272;201174;1760;85011;2062;1883;1477431;1902;100226","cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces albidoflavus group;Streptomyces coelicolor;Streptomyces coelicolor A3(2)","Bacteria","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces coelicolor","Complete","A3(2)",,,,"MLST.Streptomyces_spp.168",,,,,,,,,,,,,,,,"Good","1996-07-01T00:00:00Z","8843436,12000953,17517896,9573173,19054329",,"PRJNA242","SAMEA1705940","GCA_000203835.1",,"AL645882,AL589148,AL645771",,"complete",,,,,2,3,,72,1,8667507,65,12,,8325,99.9,99.7,,100,,,"derivative  of the laboratory strain A3(2) lacking its two plasmids SCP1 and SCP2 which were sequenced separately after being isolated from the original strain A3(2)",,,,,,,,,,,,,,,,,,"Streptomyces coelicolor strain A3(2) M145. This strain is a derivative  of the laboratory strain A3(2) lacking its two plasmids SCP1 and SCP2 which were sequenced separately after being isolated from the original strain A3(2).","2014-12-08T22:13:38.420Z","2015-03-16T03:17:09.594Z"
"1002672.3","Candidatus Pelagibacter sp. IMCC9063",,1002672,"131567;2;1224;28211;54526;1655514;198251;2647897;1002672","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;unclassified Candidatus Pelagibacter;Candidatus Pelagibacter sp. IMCC9063","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter sp. IMCC9063","Complete","IMCC9063",,,,,,,,,,,,,,,,,,,,"Poor","2011-04-05T00:00:00Z","21515764",,"PRJNA62303","SAMN02603337","GCA_000195085.1",,"CP002511",,"complete",,,,,,1,,31.67,1,1284727,32,3,,1436,91.9,90.6,8.1,79.2,"Low CheckM completeness score","Arctic Envirionment","isolated from an Arctic Envirionment",,,,,,,,,,,,,,,,,,"Genomic DNA from Strain IMCC9063 from SAR11 group 3 isolated from an Arctic Envirionment.","2014-12-08T22:10:50.025Z","2015-03-16T03:17:09.594Z"
"1002804.6","Helicobacter bizzozeronii CIII-1",,1002804,"131567;2;1224;68525;29547;213849;72293;209;56877;1002804","cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter bizzozeronii;Helicobacter bizzozeronii CIII-1","Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter bizzozeronii","Complete","CIII-1",,,,,,,,,,,,,,,,,,,,"Good","2011-06-08T00:00:00Z","21705603",,"PRJNA65019","SAMEA2272649","GCA_000237285.1",,"FR871757,FR871758",,"complete",,,,,1,2,,45.66,1,1755458,36,4,,1964,96.4,93.6,6.2,98.8,,,,,,,,,,,,,,,,,,,,,"This genome will be used for comparative analysis.","2014-12-08T22:11:43.148Z","2015-03-16T03:17:09.594Z"
"1002809.3","Solibacillus silvestris StLB046",,1002809,"131567;2;1783272;1239;91061;1385;186818;648800;76853;1002809","cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus silvestris;Solibacillus silvestris StLB046","Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus","Solibacillus silvestris","Complete","StLB046",,,,,,,,,,,,,,,,,,,,"Good","2011-04-05T00:00:00Z","22019407",,"PRJNA65037",,"GCA_000271325.1",,"AP012157.1,AP012158.1",,"complete",,,,,1,2,,38.5903,1,3969327,97,27,,3871,99.9,99.7,,99.5,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:12:56.066Z","2015-03-16T03:17:09.594Z"
"1003195.11","Streptomyces cattleya NRRL 8057 = DSM 46488",,1003195,"131567;2;1783272;201174;1760;85011;2062;1883;29303;1003195","cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces cattleya;Streptomyces cattleya NRRL 8057 = DSM 46488","Bacteria","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces cattleya","Complete","NRRL 8057",,,,,,,,,,,,,,,,,,,,"Good","2011-06-24T00:00:00Z","21868806",,"PRJNA65103",,"GCA_000237305.1",,"FQ859184,FQ859185",,"unfinished",,,,,1,2,,73.01,1,6283062,63,18,,7229,97.4,94.4,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:13:38.373Z","2015-03-16T03:17:09.594Z"
"1003195.29","Streptomyces cattleya NRRL 8057 = DSM 46488",,1003195,"131567;2;1783272;201174;1760;85011;2062;1883;29303;1003195","cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces cattleya;Streptomyces cattleya NRRL 8057 = DSM 46488","Bacteria","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces cattleya","Complete","DSM 46488",,,,,,,,,,,,,,,,,"DSM:46488",,,"Good","2015-01-16T00:00:00Z",,,"PRJNA78941","SAMN02603879","GCF_000240165.1",,"CP003219,CP003229",,,,,,,,2,,73.01,1,6282967,64,18,,7543,97.5,94.5,,100,,,,,,,,,,,,,,,,,,,,,"Genomic and genetic analysis of fluorometabolite pathway in Streptomyces cattleya DSM46488.","2016-01-17T15:28:43.911Z","2016-01-17T15:28:43.911Z"
"1005048.3","Collimonas fungivorans Ter331",,1005048,"131567;2;1224;28216;80840;75682;202907;158899;1005048","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;Collimonas fungivorans;Collimonas fungivorans Ter331","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","Collimonas fungivorans","Complete","Ter331",,,,,,,,,,,,,,,,,,,,"Good","2011-07-20T00:00:00Z","15305924,16457898,18671744,19638176,21614084",,"PRJNA65451","SAMN02603677","GCA_000221045.1",,"CP002745",,"complete",,,,,,1,,59.56,1,5186898,52,9,,4638,99.3,99,,100,,,,,,,,,,,,,,,,,,,,,"No project description provided.","2014-12-08T22:11:02.071Z","2015-03-16T03:17:09.594Z"
"1005057.4","Buchnera aphidicola str. Ua (Uroleucon ambrosiae)",,1005057,"131567;2;1224;1236;91347;1903409;32199;9;118117;1005057","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola;Buchnera aphidicola (Uroleucon ambrosiae);Buchnera aphidicola str. Ua (Uroleucon ambrosiae)","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera","Buchnera aphidicola","Complete","Ua",,,,,,,,,,,,,,,,,,,,"Good","2011-09-07T00:00:00Z","21912528",,"PRJNA65479","SAMN02604330","GCA_000225465.1",,"CP002648,CP002649,CP002650",,"unfinished",,,,,2,3,,24.18,1,615380,32,3,,566,97.9,97.5,,100,,"isofemale line of Uroleucon ambrosiae str. UA002 (brown ambrosia aphid)","isolated from an isofemale line of Uroleucon ambrosiae str. UA002 (brown ambrosia aphid)",,,,,,,,"Brown ambrosia aphid, Uroleucon ambrosiae",,"female",,,,,,,,"DNA was sequenced for the purpose of comparative genome analyses with additional Buchnera strains. DNA was isolated from an isofemale line of Uroleucon ambrosiae str. UA002 (brown ambrosia aphid).Buchnera aphidicola is a ancient, obligate, maternally transmitted, nutritional endosymbiont of aphids. Aphids and Buchnera cooperate in the biosynthesis of essential amino acids which are lacking in the aphid diet of plant phloem sap. ","2014-12-08T22:10:41.211Z","2015-03-16T03:17:09.594Z"
"1005058.3","Gallibacterium anatis UMN179",,1005058,"131567;2;1224;1236;135625;712;155493;750;1005058","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium;Gallibacterium anatis;Gallibacterium anatis UMN179","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Gallibacterium","Gallibacterium anatis","Complete","UMN179",,,,,,,,,,,,,,,,,,,,"Good","2011-04-26T00:00:00Z",,,"PRJNA65483","SAMN02604222","GCA_000209675.1",,"CP002667,CP002668",,"complete",,,,,1,2,,39.87,1,2687335,57,19,,2506,99.5,99,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:11:40.084Z","2015-03-16T03:17:09.594Z"
"1005090.4","Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)",,1005090,"131567;2;1224;1236;91347;1903409;32199;9;668607;1005090","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola;Buchnera aphidicola (Acyrthosiphon kondoi);Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera","Buchnera aphidicola","Complete","Ak (Acyrthosiphon kondoi",,,,,,,,,,,,,,,,,,,,"Good","2011-09-07T00:00:00Z","21912528",,"PRJNA65481","SAMN02604329","GCA_000225445.1",,"CP002645,CP002646,CP002647",,"unfinished",,,,,2,3,,25.67,1,641794,32,3,,607,99.4,98.8,,100,,"isofemale line of Acyrthosiphon kondoi (blue alfalfa aphid)","isolated from an isofemale line of Acyrthosiphon kondoi (blue alfalfa aphid)",,,,,,,,"Blue alfalfa aphid, Acyrthosiphon kondoi",,"female",,,,,,,,"DNA was isolated from an isofemale line of Acyrthosiphon kondoi (blue alfalfa aphid).Buchnera aphidicola is a ancient, obligate, maternally transmitted, nutritional endosymbiont of aphids. Aphids and Buchnera cooperate in the biosynthesis of essential amino acids which are lacking in the aphid diet of plant phloem sap.","2014-12-08T22:10:41Z","2015-03-16T03:17:09.594Z"
