,Unnamed: 0.1,Unnamed: 0,id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6),Effectidor
0,0,0,1,WP_011102932.1,chromosomal replication initiator protein DnaA,PSPTO_RS00005,dnaA,339,1874,+,NC_004578.1,0,0,0,0
1,1,1,2,WP_005768226.1,DNA polymerase III subunit beta,PSPTO_RS00010,dnaN,1913,3016,+,NC_004578.1,0,0,0,0
2,2,2,3,WP_003377871.1,DNA replication/repair protein RecF,PSPTO_RS00015,recF,3039,4142,+,NC_004578.1,0,0,0,0
3,3,3,4,WP_005768224.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,PSPTO_RS00020,gyrB,4147,6564,+,NC_004578.1,0,0,0,0
4,4,4,5,WP_161797786.1,type I restriction-modification system subunit M,PSPTO_RS00025,,7188,8798,+,NC_004578.1,0,0,0,0
5,5,5,6,WP_226992673.1,restriction endonuclease subunit S,PSPTO_RS00030,,8795,10168,+,NC_004578.1,0,0,0,1
6,6,6,7,WP_011102935.1,OST-HTH/LOTUS domain-containing protein,PSPTO_RS00035,,10179,11063,+,NC_004578.1,0,0,0,0
7,7,7,8,WP_011102936.1,type I restriction endonuclease,PSPTO_RS00040,,11067,14366,+,NC_004578.1,0,0,0,0
8,8,8,9,WP_004667395.1,IS91 family transposase,PSPTO_RS00045,,14512,15741,-,NC_004578.1,0,0,0,0
9,9,9,10,WP_011102937.1,DUF3757 domain-containing protein,PSPTO_RS00050,,15948,16421,+,NC_004578.1,0,0,0,1
10,10,10,11,WP_011102938.1,M48 family metallopeptidase,PSPTO_RS00060,,16743,17453,+,NC_004578.1,0,1,1,0
11,11,11,12,WP_011102939.1,hypothetical protein,PSPTO_RS30090,,17514,18017,+,NC_004578.1,0,0,0,0
12,12,12,13,WP_011102940.1,hypothetical protein,PSPTO_RS30095,,17992,18561,+,NC_004578.1,0,0,0,0
13,13,13,14,WP_046463578.1,hypothetical protein,PSPTO_RS00070,,18573,18803,-,NC_004578.1,0,0,0,0
14,14,14,15,WP_011102942.1,hypothetical protein,PSPTO_RS00075,,19321,19932,+,NC_004578.1,0,0,0,0
15,15,15,16,WP_046463577.1,hypothetical protein,PSPTO_RS00080,,19983,20435,+,NC_004578.1,0,0,0,0
16,16,16,17,WP_161797787.1,SNF2-related protein,PSPTO_RS00085,,20738,23149,-,NC_004578.1,0,0,0,0
17,17,17,18,WP_005741073.1,IS21-like element ISPsy4 family helper ATPase IstB,PSPTO_RS00090,istB,23290,24099,-,NC_004578.1,0,0,0,0
18,18,18,19,WP_002551322.1,IS21-like element ISPsy4 family transposase,PSPTO_RS00095,istA,24096,25118,-,NC_004578.1,0,0,0,1
19,19,19,20,WP_011102945.1,hypothetical protein,PSPTO_RS00100,,25187,25537,-,NC_004578.1,0,1,1,0
20,20,20,21,WP_011102946.1,hypothetical protein,PSPTO_RS30100,,25556,27796,-,NC_004578.1,0,0,0,0
21,21,21,22,WP_200836483.1,helix-turn-helix transcriptional regulator,PSPTO_RS00120,,28166,29323,+,NC_004578.1,0,1,0,0
22,22,22,23,WP_011102948.1,hypothetical protein,PSPTO_RS00125,,29320,29919,+,NC_004578.1,0,0,0,0
23,23,23,24,WP_046463838.1,hypothetical protein,PSPTO_RS00130,,30005,30553,-,NC_004578.1,0,0,0,0
24,24,24,25,WP_011102949.1,hypothetical protein,PSPTO_RS00135,,30850,30987,+,NC_004578.1,0,0,0,1
25,25,25,26,WP_011102950.1,HAD family hydrolase,PSPTO_RS00140,,31338,31967,+,NC_004578.1,0,0,0,0
26,26,26,27,WP_011102951.1,hypothetical protein,PSPTO_RS00145,,32022,33068,-,NC_004578.1,0,0,0,0
27,27,27,28,WP_011102952.1,hypothetical protein,PSPTO_RS00150,,33254,33976,+,NC_004578.1,0,0,0,0
28,28,28,29,WP_011102953.1,DDE-type integrase/transposase/recombinase,PSPTO_RS00155,,33978,35933,+,NC_004578.1,0,0,0,0
29,29,29,30,WP_169790031.1,TniB family NTP-binding protein,PSPTO_RS00160,,35930,36868,+,NC_004578.1,0,0,0,0
